Pergunta,Resposta,Categoria,,,,
Docentes do Instituto de Computação em representações da UFBA no Conselho Acadêmico de Pesquisa e Extensão (Capex),Tit. Prof. Ivan do Carmo Machado - 08.10.2021 - 1º e Sup. Profª. Christina Von Flach Garcia - 08.10.2021 - 1º,Institucional/Representação/Capex,,,,
Docentes do Instituto de Computação em representações da UFBA no Comitê de Governança Digital,Dir. Profª. Fabiola Gonçalves Pereira Greve 01.07.2021 - 1º e Vice. Profª. Vaninha Vieira dos Santos 06.10.2021 - 1º,Institucional/Representação/Governança Digital,,,,
Site do Instituto de Computação da UFBA,https://computacao.ufba.br/,Institucional,,,,
Cadastro UFBA no e-MEC,https://emec.mec.gov.br/emec/consulta-cadastro/detalhamento/d96957f455f6405d14c6542552b0f6eb/NTc4,Institucional/Regulação,,,,
Avaliação dos Cursos de Pós-Graduação em Computação do IC,https://sucupira.capes.gov.br/sucupira/public/consultas/coleta/programa/quantitativos/quantitativoPrograma.jsf?areaAvaliacao=2&areaConhecimento=10300007&cdRegiao=0&ies=338507,Institucional/Regulação,,,,
Modalidade dos Cursos de Pós-Graduação em Computação do IC,Presencial,Institucional/Ensino,,,,
Duração do Mestrado em Ciência da Computação,24 Meses (2 anos),Institucional/PGCOMP,,,,
Duração do Doutorado em Ciência da Computação,48 Meses (4 anos),Institucional/PGCOMP,,,,
Bolsas de Mestrado ou Doutorado do IC,https://pgcomp.ufba.br/editais-publicados,Institucional/Pesquisa,,,,
Áreas de Concentração da Pós-Graduação em Ciência da Computação,Computação Aplicada; Engenharia de Software; Sistemas Computacionais; Computação Teórica,Institucional/PGCOMP/Pesquisa,,,, 
Projetos de Inovação do IC,https://computacao.ufba.br/pt-br/projetos,Institucional/Inovação,,,,
Cursos de Graduação do IC,Bacharelado em Sistemas de Informação; Bacharelado em Ciência da Computação; Licenciatura em Computação,Institucional/PGCOMP,,,,
"Projetos de inovação em cooperação com instituições públicas, indústria e governo.",https://computacao.ufba.br/projetos,Inovação/Projetos,,,,
InovaComp,"InovaComp é o Laboratório (virtual) para experimentação e desenvolvimento de sistemas, hardware e software. Saiba mais em: https://computacao.ufba.br/pt-br/inovacomp",Inovação/InovaComp,,,,
Docentes do IC,https://computacao.ufba.br/pt-br/docentes,Pessoas/Docentes,,,,
Aposentados e colaboradores do IC,https://computacao.ufba.br/pt-br/aposentados-colaboradores,Pessoas/Aposentados e Colaboradores,,,,
Técnicos Administrativos,https://computacao.ufba.br/pt-br/tecnicos-administrativos,Pessoas/Técnicos Administrativos,,,,
Estagiários e Bolsistas,https://computacao.ufba.br/pt-br/estagiarios-bolsistas,Pessoas/Estagiários e Bolsistas,,,,
O que é extensão universitária ,"A extensão universitária é a interface entre a universidade e sociedade visando com o objetivo de gerar conhecimento e à interlocução das atividades acadêmicas de ensino e de pesquisa, através de processos ativos de formação.",Extensão/Apresentação,,,,
Programas de extensão do DCC,"o DCC conta com três Programas Permanentes de Extensão que realizam atividades focadas na inclusão e letramento digital e educação em computação em apoio com a sociedade baiana. São eles: Programa Onda Digital, Programa de Ações Pedagógicas para Formação de Professores de Computação (PROFCOMP) e Maratonas de Programação (GruPro)",Extensão/Programas de extensão/Apresentação,,,,
Programa Onda Digital,"O Programa Onda Digital foi criado em 2004, sob a coordenação do Departamento de Ciência da Computação (DCC) do Instituto de Matemática, como um programa permanente de extensão da Universidade Federal da Bahia (UFBA) e visa contribuir com a inclusão sociodigital na Bahia, envolvendo a Universidade em ações educativas e de difusão da filosofia do Software Livre. Saiba mais em: http://wiki.dcc.ufba.br/OndaDigital/",Extensão/Programas de extensão/Programa Onda Digital,,,,
Programa de Ações Pedagógicas para Formação de Professores de Computação (PROFCOMP),"O Programa de Ações Pedagógicas para Formação Docente em Computação (PROFCOMP) é um programa permanente de extensão universitária, desenvolvido pelo Grupo de Pesquisa e Extensão em Informática, Educação e Sociedade – Onda Digital, com foco no desenvolvimento de conhecimentos sobre/para/com professores da educação básica. Saiba mais em: http://wiki.dcc.ufba.br/OndaDigital/ApresentacaoPROFCOMP",Extensão/Programas de extensão/PROFCOMP,,,,
Maratonas de Programação (GruPro),"O GruPro é o grupo de professores e estudantes apaixonados por programação. O objetivo é melhorar a qualidade dos cursos de graduação através da inserção da cultura de maratonas de programação no dia a dia das disciplinas de Computação, e assim aprimorar o perfil dos estudantes formados. Saiba mais em: http://wiki.dcc.ufba.br/GRUPROtmp/WebHome",Extensão/Programas de extensão/GruPro,,,,
Curso de Pós-graduação Lato Sensu em Projetos de Tecnologia e Inovação para o Judiciário Federal,O curso tem como objetivo incentivar a formação de recursos humanos com alto grau de especialização na área de Desenvolvimento de Sistemas de Software. O foco de atuação será desenvolver competências para o planejamento e o desenvolvimento de soluções de software para as diversas áreas da Seção Judiciária da Bahia (SJBA).,Extensão/Residência de Software/Pós-graduação Lato Sensu - Projetos de Tecnologia e Inovação,,,,
Curso de Pós-Graduação Lato Sensu Em Tecnologia da Informação,O curso tem como objetivo principal incentivar a formação de recursos humanos com alto grau de especialização na área de Desenvolvimento de Sistemas de Software. O foco de atuação da primeira turma do curso será desenvolver competências para o planejamento e o desenvolvimento de soluções de software para as diversas áreas do Tribunal Regional Eleitoral da Bahia (TRE/BA).,Extensão/Residência de Software/Pós-graduação Lato Sensu - Tecnologia da Informação,,,,
